# HOST LANE ID NOTE
kikin-kushi nala gparted "headless: no display"
kikin-kushi nala audacity "headless GUI"
kikin-kushi nala transmission-qt "headless GUI"
kikin-kushi nala gthumb "headless GUI"
kikin-kushi nala signal-desktop "headless GUI"
kikin-kushi nala antigravity "headless GUI IDE"
kikin-kushi nala dbeaver-ce "headless GUI"
kikin-kushi nala mongodb-compass "headless GUI"
kikin-kushi nala rustdesk "x230 is the remote target, not kikin"
kikin-kushi nala font-manager "headless GUI"
kikin-kushi nala pluma "headless GUI"
kikin-kushi nala seahorse "headless GUI"
kikin-kushi nala kdeconnect "headless GUI"
kikin-kushi nala brave-browser "cortex uses the flatpak Brave, not nala"
kikin-kushi appimage Azahar "3DS emu won't run meaningfully"
kikin-kushi appimage Eden "Switch emu won't run meaningfully"
kikin-kushi appimage edex-ui "GUI eye-candy terminal (manual-inventory)"
kikin-kushi appimage cool-retro-term "GUI retro terminal"
kikin-kushi appimage goxel "voxel editor GUI"
kikin-kushi appimage appimagepool "GUI appimage store"
kikin-kushi appimage Logseq-linux-x86_64 "note app, dropped from flatpak Aug-20"
kikin-kushi guix room-gaming "won't run heavy games on kikin"
kikin-kushi guix room-retropie "retro emulation not run on kikin"
kikin-kushi guix room-windows-compat "no wine/windows lane on kikin"
kikin-kushi guix sanctuary-godzilla-xs "not kikin's sanctuary"
# claude/opencode desktop apps — web app + CLI cover them (Mètsàtron 2026-09-11), drop BOTH lanes
kikin-kushi nala claude-desktop "web app + CLI instead"
kikin-kushi nala claude-devtools "web app + CLI instead"
kikin-kushi nala open-code "web app + CLI instead (deb pkg name is open-code)"
kikin-kushi appimage claude-desktop "web app + CLI instead"
kikin-kushi appimage claude-devtools "web app + CLI instead"
kikin-kushi appimage opencode-desktop "web app + CLI instead"
